problem,method,generation,generated_losses,unique_family_signatures,dominant_signature_share,top_family_signatures,extra_regularizer_share,advantage_heavy_share,rankprob_or_probabilistic_share,advantage_blend_tanh_relu_share,logsigmoid_backbone_share,hf_candidates,hf_negative_improvement_candidates,hf_best_score
TSP100,Family-aware,0,16,15,0.125,pairwise_margin|cost_gap|logsigmoid|mean|normalization:2; pairwise_regression|advantage_gap|identity|mean|none:1; pairwise_margin|cost_gap|logsigmoid|sum_div_sum|clamp_stabilized:1; pairwise_rank_gap|advantage_gap|tanh|mean|clamp_nonneg_relu:1,0.1875,0.5625,0.0,0.0,0.625,2,1,-0.013375043106078621
TSP100,Family-aware,1,16,14,0.125,pairwise_margin|cost_gap|logsigmoid|mean|clamp_stabilized:2; pairwise_margin|advantage_gap|logsigmoid|sum|clamp_stabilized:2; pairwise_rank_gap|advantage_gap|tanh|sum|clamp_nonneg_relu:1; pairwise_margin|cost_gap_advantage|logsigmoid|sum|clamp_stabilized:1,0.125,0.6875,0.25,0.0,0.5625,1,1,-0.010966670608520523
TSP100,Family-aware,2,16,16,0.0625,paradigm=unknown|signal=unknown|agg=unknown|constraint=unknown:1; pairwise_margin|cost_gap|logsigmoid|median|clamp_stabilized:1; pairwise_margin|cost_gap|hinge|sum_div_sum|symmetry_normalized:1; pairwise_rank_based|advantage_gap|relu_zero_clip|sum_normalized|normalization_scale_invariance:1,0.3125,0.375,0.125,0.0,0.9375,2,1,-0.012530562973022352
TSP100,Family-aware,3,16,16,0.0625,pairwise_probability_matching|advantage_gap|softplus_sigmoid|weighted_sigmoid_normalized_sum|none:1; pairwise_margin|cost_gap|logsigmoid|mean|scale_invariance:1; pairwise_rank_gap|advantage_gap|tanh|mean|clamp_softplus:1; pairwise_margin|advantage_gap|logsigmoid|sum_log_transform|clamp_stabilized:1,0.1875,0.75,0.25,0.0,0.5625,1,0,0.006805638885498233
TSP100,Family-aware,4,16,16,0.0625,pairwise_regression|delta_regret_delta_z|logsigmoid|mean|none:1; pairwise_margin|advantage_gap|logsigmoid|sum_log_transform|clamp_stabilized:1; pairwise_margin|cost_gap|logsigmoid|soft_exp|clamp_stabilized:1; pairwise_regression|delta_regret_rank_gap|tanh|quantile_weighted|bounded_smooth:1,0.25,0.25,0.0,0.0,0.6875,4,2,-0.02145215148925761
TSP100,Family-aware,5,16,16,0.0625,pairwise_margin|cost_gap|softplus|weighted_sum|none:1; pairwise_margin|cost_gap|softsign|median|scale_invariance:1; pairwise_margin_rank_weighted|advantage_gap_delta_rank|logsigmoid|weighted_mean|clamp_stabilized:1; pairwise_rank_gap|advantage_gap|softplus|sum_normalized_l1|clamp_stabilized:1,0.4375,0.625,0.0625,0.0,0.625,1,1,-0.0012620826721190248
TSP100,Family-aware,6,16,16,0.0625,pairwise_margin|advantage_gap|logsigmoid|mean|symmetry_normalized_clamp:1; pairwise_regret|delta_regret_advantage_gap|tanh|weighted_mean_normalized|clamp_stabilized:1; pairwise_margin|cost_gap|logsigmoid|mean_normalized|scale_invariance:1; pairwise_regression_renyi_divergence|advantage_w_advantage_l|softplus|weighted_mean_normalized|clamp_alpha:1,0.1875,0.8125,0.0,0.0,0.6875,4,2,-0.005374682617187432
TSP100,Family-aware,7,16,16,0.0625,pairwise_discounted_topk|advantage_gap|logsigmoid|topk_mean|none:1; pairwise_margin_rank_weighted|advantage_gap_delta_rank|logsigmoid|weighted_mean|smooth_transform:1; pairwise_margin_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean_with_clip|explicit_normalization_with_clip:1; pairwise_regret|delta_regret|sigmoid_scaled|sum_normalized|relu_nonnegative:1,0.1875,0.625,0.0,0.0,0.8125,5,3,-0.008380913162230996
TSP100,Family-aware,8,16,16,0.0625,pairwise_margin|advantage_gap|logsigmoid|sum_normalized|clamp_stabilized:1; pairwise_ratio|delta_regret|logsigmoid|normalized_weighted_sum|pos_ratio_scale_invariant:1; pairwise_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean|symmetry_with_explicit_normalization:1; pairwise_softmax_contrastive|cost_gap|log_softmax_difference|mean|none:1,0.25,0.5,0.125,0.0,0.875,12,8,-0.014288006973266043
TSP100,Family-aware,9,16,14,0.1875,pairwise_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean|symmetry_with_explicit_normalization:3; pairwise_margin_with_clipping|delta_rank|logsigmoid|normalized_weighted_sum|explicit_clipping_normalization:1; pairwise_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean|soft_symmetric_weighting_normalization:1; pairwise_inverse_margin|cost_gap|logsigmoid|weighted_sum|margin_penalty_inverse_cost_gap:1,0.375,0.6875,0.0625,0.0,0.875,8,5,-0.013208696746825677
